system:index,AWEI,BAEI,BSI,EVI,GCI,MNDWI,NBR,NDBI,NDMI,NDSI,NDVI,NDWI,SAVI,UI,Year,.geo
"0_-56,588",-50141.82965370779,0.6373735259100795,-0.07337500022738823,3.026862598008738,0.7660786000825465,-0.1517292954120785,0.2562757382262498,-0.12481871672580383,0.12481871672580383,-0.1517292954120785,0.2839590394962579,-0.2708215881511569,0.42593124822733924,0.7832939629629254,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.6036678709283185,6.338512644747344],[-0.5928880875188842,6.338512644747344],[-0.5928880875188842,6.349292428156779],[-0.6036678709283185,6.349292428156779],[-0.6036678709283185,6.338512644747344]]]}"
"0_-55,588",-51813.809142299186,0.6153902605548501,-0.08317084969312419,3.863543498728218,0.8544528663530946,-0.1603567898273468,0.2750612277444452,-0.13875544413691387,0.13875544413691387,-0.1603567898273468,0.30705650488846004,-0.29161651318892834,0.46057714351610385,0.761480358466506,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5928880875188842,6.338512644747344],[-0.5821083041094499,6.338512644747344],[-0.5821083041094499,6.349292428156779],[-0.5928880875188842,6.349292428156779],[-0.5928880875188842,6.338512644747344]]]}"
"0_-54,588",-52303.49591927077,0.5761467272043228,-0.10534953501308336,4.294746659305414,1.0069824695587157,-0.1733765556430444,0.3099495188519359,-0.16611471909098327,0.16611471909098327,-0.1733765556430444,0.34915297308936716,-0.329288522079587,0.5237209360666641,0.7190512263402343,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5821083041094499,6.338512644747344],[-0.5713285207000157,6.338512644747344],[-0.5713285207000157,6.349292428156779],[-0.5821083041094499,6.349292428156779],[-0.5821083041094499,6.338512644747344]]]}"
"0_-53,588",-49858.16067708339,0.6023697509616613,-0.09297988146805437,4.593004934949999,0.8979086624085904,-0.16345724433660508,0.2865522034466267,-0.14902523588039912,0.14902523588039912,-0.16345724433660508,0.3215450047329068,-0.3044630148075521,0.4823092260336078,0.7442592784017324,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5713285207000157,6.338512644747344],[-0.5605487372905814,6.338512644747344],[-0.5605487372905814,6.349292428156779],[-0.5713285207000157,6.349292428156779],[-0.5713285207000157,6.338512644747344]]]}"
"0_-52,588",-49411.92265625001,0.6049273451045155,-0.09852291154209525,5.192017611415986,0.907051025852561,-0.1569833664642647,0.29226592685095965,-0.15764947675168514,0.15764947675168514,-0.1569833664642647,0.322573639433831,-0.3063709406647831,0.48385225144740474,0.7312063402310014,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5605487372905814,6.338512644747344],[-0.5497689538811472,6.338512644747344],[-0.5497689538811472,6.349292428156779],[-0.5605487372905814,6.349292428156779],[-0.5605487372905814,6.338512644747344]]]}"
"0_-51,588",-46975.11933854167,0.6089149764925241,-0.10426143402699381,4.3459276929372015,0.9045389357954263,-0.14947004010900855,0.2950596004165709,-0.1636245835246518,0.1636245835246518,-0.14947004010900855,0.3240757062565535,-0.304660592507571,0.48610509668107676,0.7217521236464381,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5497689538811472,6.338512644747344],[-0.5389891704717129,6.338512644747344],[-0.5389891704717129,6.349292428156779],[-0.5497689538811472,6.349292428156779],[-0.5497689538811472,6.338512644747344]]]}"
"0_-50,588",-46652.50238802084,0.6045632651075721,-0.10415130447596312,5.977769953180942,0.9226288645714521,-0.15205179324606433,0.2969387352373451,-0.16622937279753386,0.16622937279753386,-0.15205179324606433,0.3267130135558546,-0.30955768579617143,0.4900609108894514,0.7178199283406138,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5389891704717129,6.338512644747344],[-0.5282093870622787,6.338512644747344],[-0.5282093870622787,6.349292428156779],[-0.5389891704717129,6.349292428156779],[-0.5389891704717129,6.338512644747344]]]}"
"0_-49,588",-46351.60017447914,0.5981523612514138,-0.11000835106242449,3.798496541891101,0.9590884010866284,-0.15208578652702273,0.3038769412320107,-0.1748446412011981,0.1748446412011981,-0.15208578652702273,0.33547605607658626,-0.31745248849503693,0.5032052425452261,0.7051123464107514,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5282093870622787,6.338512644747344],[-0.5174296036528444,6.338512644747344],[-0.5174296036528444,6.349292428156779],[-0.5282093870622787,6.349292428156779],[-0.5282093870622787,6.338512644747344]]]}"
"0_-56,589",-49784.85493993507,0.629133468195796,-0.0822465798316989,12.493173652833377,0.801942675113678,-0.15030821023508906,0.2712465449422598,-0.13616389740956947,0.13616389740956947,-0.15030821023508906,0.29671275747939946,-0.2800291374605149,0.44506159269175394,0.764352607652545,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.6036678709283185,6.349292428156779],[-0.5928880875188842,6.349292428156779],[-0.5928880875188842,6.360072211566212],[-0.6036678709283185,6.360072211566212],[-0.6036678709283185,6.349292428156779]]]}"
"0_-55,589",-49088.122001984055,0.6233433394506573,-0.08881432507419959,3.716744447933958,0.8495994774252176,-0.15069026131182908,0.27824557217769325,-0.14577444615773857,0.14577444615773857,-0.15069026131182908,0.3062350154761225,-0.2887907139118761,0.45934472915387387,0.7497334241122008,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5928880875188842,6.349292428156779],[-0.5821083041094499,6.349292428156779],[-0.5821083041094499,6.360072211566212],[-0.5928880875188842,6.360072211566212],[-0.5928880875188842,6.349292428156779]]]}"
