system:index,AWEI,BAEI,BSI,EVI,GCI,MNDWI,NBR,NDBI,NDMI,NDSI,NDVI,NDWI,SAVI,UI,Year,.geo
"0_-111,1176",-50946.56640624999,0.643996016383171,-0.05711523499339819,3.8771218924386015,0.7112395012378693,-0.15982341419905424,0.2343347091972828,-0.10361598059535027,0.10361598059535027,-0.15982341419905424,0.2678218765184283,-0.25889342196285725,0.4017256972907947,0.8160559394955635,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5982779792236014,6.338512644747344],[-0.5928880875188842,6.338512644747344],[-0.5928880875188842,6.343902536452061],[-0.5982779792236014,6.343902536452061],[-0.5982779792236014,6.338512644747344]]]}"
"0_-110,1176",-52440.63209226189,0.6342635820806026,-0.06391808964079246,4.195797570899223,0.759414304792881,-0.16105655528604984,0.2472501189261675,-0.11422994534485043,0.11422994534485043,-0.16105655528604984,0.2798207848146558,-0.26976516168564557,0.4197240712217332,0.8002040050923824,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5928880875188842,6.338512644747344],[-0.5874981958141671,6.338512644747344],[-0.5874981958141671,6.343902536452061],[-0.5928880875188842,6.343902536452061],[-0.5928880875188842,6.338512644747344]]]}"
"0_-109,1176",-53102.27159374998,0.5905931617319584,-0.0923621681286022,4.149057977348062,0.9462383225560188,-0.17215988952666522,0.29138343024998903,-0.15035787258297206,0.15035787258297206,-0.17215988952666522,0.33096734128892424,-0.31332403264939784,0.4964429471067215,0.7443136383593082,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5874981958141671,6.338512644747344],[-0.5821083041094499,6.338512644747344],[-0.5821083041094499,6.343902536452061],[-0.5874981958141671,6.343902536452061],[-0.5874981958141671,6.338512644747344]]]}"
"0_-108,1176",-51974.18668749999,0.5820823296904564,-0.10017863755114377,4.102632955459592,0.9725075975060463,-0.17249841254204512,0.3016893144696951,-0.15947745641693473,0.15947745641693473,-0.17249841254204512,0.34134880267083645,-0.3226077567785978,0.5120147492923307,0.7285969552397727,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5821083041094499,6.338512644747344],[-0.5767184124047329,6.338512644747344],[-0.5767184124047329,6.343902536452061],[-0.5821083041094499,6.343902536452061],[-0.5821083041094499,6.338512644747344]]]}"
"0_-107,1176",-50547.945666666696,0.5866948601603508,-0.10353330832906067,4.75379293965727,0.9614514650404453,-0.1665536940470338,0.3062399834394455,-0.16282772433012724,0.16282772433012724,-0.1665536940470338,0.33956200152635574,-0.32009921945631503,0.5093345398451313,0.7230121837556363,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5767184124047329,6.338512644747344],[-0.5713285207000157,6.338512644747344],[-0.5713285207000157,6.343902536452061],[-0.5767184124047329,6.343902536452061],[-0.5767184124047329,6.338512644747344]]]}"
"0_-106,1176",-48332.265729166655,0.6074378973245621,-0.09679326878860593,5.653399751131294,0.8978532570600509,-0.15773867331445218,0.29098005406558514,-0.1532669460400939,0.1532669460400939,-0.15773867331445218,0.32023372180759907,-0.3027143705263734,0.48034226359155985,0.7376325541734695,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5713285207000157,6.338512644747344],[-0.5659386289952986,6.338512644747344],[-0.5659386289952986,6.343902536452061],[-0.5713285207000157,6.343902536452061],[-0.5713285207000157,6.338512644747344]]]}"
"0_-105,1176",-48949.59968749999,0.623965150564909,-0.07909790752455592,2.549019393515855,0.8033467316627503,-0.15806038727983832,0.2617731501162052,-0.13116168385371565,0.13116168385371565,-0.15806038727983832,0.29686722192913295,-0.2831917873397469,0.4452928580376668,0.7707102124392986,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5659386289952986,6.338512644747344],[-0.5605487372905814,6.338512644747344],[-0.5605487372905814,6.343902536452061],[-0.5659386289952986,6.343902536452061],[-0.5659386289952986,6.338512644747344]]]}"
"0_-104,1176",-48881.96083333333,0.6217366084456444,-0.09408610495738685,5.134118502443216,0.8503217519819737,-0.14667414978146553,0.28336170218884943,-0.15413535960018634,0.15413535960018634,-0.14667414978146553,0.30683071553707125,-0.29376989748328924,0.4602382799521855,0.7365817482769489,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5605487372905814,6.338512644747344],[-0.5551588455858643,6.338512644747344],[-0.5551588455858643,6.343902536452061],[-0.5605487372905814,6.343902536452061],[-0.5605487372905814,6.338512644747344]]]}"
"0_-103,1176",-48211.17333333331,0.6023130628466606,-0.11209522187709808,3.743909025449642,0.9538292738795281,-0.14950016394257545,0.3095045581459999,-0.17450395815074443,0.17450395815074443,-0.14950016394257545,0.3330899675935507,-0.3146026299148798,0.49962663375454547,0.7064616972208023,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5551588455858643,6.338512644747344],[-0.5497689538811472,6.338512644747344],[-0.5497689538811472,6.343902536452061],[-0.5551588455858643,6.343902536452061],[-0.5551588455858643,6.338512644747344]]]}"
"0_-102,1176",-46538.27646874999,0.6128935381770134,-0.11008518921211362,4.584767962974188,0.9094138106703759,-0.14226670971140265,0.3007240182161331,-0.1711153408512473,0.1711153408512473,-0.14226670971140265,0.32458332270383833,-0.30483242355287077,0.4868666377226937,0.7108868588507176,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5497689538811472,6.338512644747344],[-0.5443790621764301,6.338512644747344],[-0.5443790621764301,6.343902536452061],[-0.5497689538811472,6.343902536452061],[-0.5497689538811472,6.338512644747344]]]}"
