grid_id,NDVI,geom,Year
30,0.3015010653760618,"{'type': 'Polygon', 'coordinates': [[[-582750.0, -107100.0], [-581700.0, -107100.0], [-581700.0, -106050.0], [-582750.0, -106050.0], [-582750.0, -107100.0]]]}",2014
31,0.3029798774051097,"{'type': 'Polygon', 'coordinates': [[[-581700.0, -107100.0], [-580650.0, -107100.0], [-580650.0, -106050.0], [-581700.0, -106050.0], [-581700.0, -107100.0]]]}",2014
32,0.0414127112013835,"{'type': 'Polygon', 'coordinates': [[[-589050.0, -106050.0], [-588000.0, -106050.0], [-588000.0, -105000.0], [-589050.0, -105000.0], [-589050.0, -106050.0]]]}",2014
33,0.1210746394438547,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -106050.0], [-586950.0, -106050.0], [-586950.0, -105000.0], [-588000.0, -105000.0], [-588000.0, -106050.0]]]}",2014
34,0.2271841222880299,"{'type': 'Polygon', 'coordinates': [[[-586950.0, -106050.0], [-585900.0, -106050.0], [-585900.0, -105000.0], [-586950.0, -105000.0], [-586950.0, -106050.0]]]}",2014
35,0.2275454968169538,"{'type': 'Polygon', 'coordinates': [[[-585900.0, -106050.0], [-584850.0, -106050.0], [-584850.0, -105000.0], [-585900.0, -105000.0], [-585900.0, -106050.0]]]}",2014
36,0.2826393016578968,"{'type': 'Polygon', 'coordinates': [[[-584850.0, -106050.0], [-583800.0, -106050.0], [-583800.0, -105000.0], [-584850.0, -105000.0], [-584850.0, -106050.0]]]}",2014
37,0.3021892445756478,"{'type': 'Polygon', 'coordinates': [[[-583800.0, -106050.0], [-582750.0, -106050.0], [-582750.0, -105000.0], [-583800.0, -105000.0], [-583800.0, -106050.0]]]}",2014
38,0.3201663849006845,"{'type': 'Polygon', 'coordinates': [[[-582750.0, -106050.0], [-581700.0, -106050.0], [-581700.0, -105000.0], [-582750.0, -105000.0], [-582750.0, -106050.0]]]}",2014
39,0.3722274708192425,"{'type': 'Polygon', 'coordinates': [[[-581700.0, -106050.0], [-580650.0, -106050.0], [-580650.0, -105000.0], [-581700.0, -105000.0], [-581700.0, -106050.0]]]}",2014
40,0.105761666432258,"{'type': 'Polygon', 'coordinates': [[[-589050.0, -105000.0], [-588000.0, -105000.0], [-588000.0, -103950.0], [-589050.0, -103950.0], [-589050.0, -105000.0]]]}",2014
41,0.2179552283031472,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -105000.0], [-586950.0, -105000.0], [-586950.0, -103950.0], [-588000.0, -103950.0], [-588000.0, -105000.0]]]}",2014
42,0.2888794989346763,"{'type': 'Polygon', 'coordinates': [[[-586950.0, -105000.0], [-585900.0, -105000.0], [-585900.0, -103950.0], [-586950.0, -103950.0], [-586950.0, -105000.0]]]}",2014
43,0.2854243340944783,"{'type': 'Polygon', 'coordinates': [[[-585900.0, -105000.0], [-584850.0, -105000.0], [-584850.0, -103950.0], [-585900.0, -103950.0], [-585900.0, -105000.0]]]}",2014
44,0.3070650977016224,"{'type': 'Polygon', 'coordinates': [[[-584850.0, -105000.0], [-583800.0, -105000.0], [-583800.0, -103950.0], [-584850.0, -103950.0], [-584850.0, -105000.0]]]}",2014
45,0.2410374809070257,"{'type': 'Polygon', 'coordinates': [[[-583800.0, -105000.0], [-582750.0, -105000.0], [-582750.0, -103950.0], [-583800.0, -103950.0], [-583800.0, -105000.0]]]}",2014
46,0.296021112702207,"{'type': 'Polygon', 'coordinates': [[[-582750.0, -105000.0], [-581700.0, -105000.0], [-581700.0, -103950.0], [-582750.0, -103950.0], [-582750.0, -105000.0]]]}",2014
47,0.3397743446923508,"{'type': 'Polygon', 'coordinates': [[[-581700.0, -105000.0], [-580650.0, -105000.0], [-580650.0, -103950.0], [-581700.0, -103950.0], [-581700.0, -105000.0]]]}",2014
48,0.0442560802334857,"{'type': 'Polygon', 'coordinates': [[[-589050.0, -103950.0], [-588000.0, -103950.0], [-588000.0, -102900.0], [-589050.0, -102900.0], [-589050.0, -103950.0]]]}",2014
49,0.222110228321338,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -103950.0], [-586950.0, -103950.0], [-586950.0, -102900.0], [-588000.0, -102900.0], [-588000.0, -103950.0]]]}",2014
