grid_id,NDVI,geom,Year
10,0.2955702263367765,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -106000.0]]]}",2001
11,0.2962547823928509,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -106000.0], [-580000.0, -106000.0], [-580000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -106000.0]]]}",2001
12,0.1627722003412011,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -102000.0], [-588000.0, -102000.0], [-588000.0, -104000.0]]]}",2001
13,0.2605721577183044,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -102000.0], [-586000.0, -102000.0], [-586000.0, -104000.0]]]}",2001
14,0.3102035340761709,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -102000.0], [-584000.0, -102000.0], [-584000.0, -104000.0]]]}",2001
15,0.3307183765354536,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -104000.0], [-580000.0, -104000.0], [-580000.0, -102000.0], [-582000.0, -102000.0], [-582000.0, -104000.0]]]}",2001
0,0.2111332271772755,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -110000.0], [-586000.0, -110000.0], [-586000.0, -108000.0], [-588000.0, -108000.0], [-588000.0, -110000.0]]]}",2002
1,0.3179143758408122,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -110000.0], [-584000.0, -110000.0], [-584000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -110000.0]]]}",2002
2,0.3311693095858907,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -110000.0], [-582000.0, -110000.0], [-582000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -110000.0]]]}",2002
3,0.3114945290409492,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -110000.0], [-580000.0, -110000.0], [-580000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -110000.0]]]}",2002
4,0.2528129685794238,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -106000.0], [-588000.0, -106000.0], [-588000.0, -108000.0]]]}",2002
5,0.2989417726916168,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -108000.0]]]}",2002
6,0.2944534624172487,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -108000.0]]]}",2002
7,0.2979495083383581,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -108000.0], [-580000.0, -108000.0], [-580000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -108000.0]]]}",2002
8,0.2681643433254615,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -104000.0], [-588000.0, -104000.0], [-588000.0, -106000.0]]]}",2002
9,0.2890871354022498,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -106000.0]]]}",2002
10,0.2934237264716314,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -106000.0]]]}",2002
11,0.3150725284885672,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -106000.0], [-580000.0, -106000.0], [-580000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -106000.0]]]}",2002
12,0.1558449286074026,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -102000.0], [-588000.0, -102000.0], [-588000.0, -104000.0]]]}",2002
13,0.2520322475943279,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -102000.0], [-586000.0, -102000.0], [-586000.0, -104000.0]]]}",2002
14,0.3090015521131779,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -102000.0], [-584000.0, -102000.0], [-584000.0, -104000.0]]]}",2002
15,0.3301952897759109,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -104000.0], [-580000.0, -104000.0], [-580000.0, -102000.0], [-582000.0, -102000.0], [-582000.0, -104000.0]]]}",2002
0,0.2268944205761232,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -110000.0], [-586000.0, -110000.0], [-586000.0, -108000.0], [-588000.0, -108000.0], [-588000.0, -110000.0]]]}",2003
1,0.2616731398763229,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -110000.0], [-584000.0, -110000.0], [-584000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -110000.0]]]}",2003
2,0.2959646039159342,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -110000.0], [-582000.0, -110000.0], [-582000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -110000.0]]]}",2003
3,0.3538194844316801,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -110000.0], [-580000.0, -110000.0], [-580000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -110000.0]]]}",2003
4,0.2790459815918617,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -106000.0], [-588000.0, -106000.0], [-588000.0, -108000.0]]]}",2003
5,0.2972414753043678,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -108000.0]]]}",2003
6,0.2680398758791252,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -108000.0]]]}",2003
7,0.3192731947547891,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -108000.0], [-580000.0, -108000.0], [-580000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -108000.0]]]}",2003
8,0.2692584820619212,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -104000.0], [-588000.0, -104000.0], [-588000.0, -106000.0]]]}",2003
9,0.2954948847748532,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -106000.0]]]}",2003
10,0.218976471174561,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -106000.0]]]}",2003
11,0.296237609343,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -106000.0], [-580000.0, -106000.0], [-580000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -106000.0]]]}",2003
12,0.2227170559519889,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -102000.0], [-588000.0, -102000.0], [-588000.0, -104000.0]]]}",2003
13,0.2525853070502783,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -102000.0], [-586000.0, -102000.0], [-586000.0, -104000.0]]]}",2003
14,0.2610322910700826,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -102000.0], [-584000.0, -102000.0], [-584000.0, -104000.0]]]}",2003
15,0.3239050104087629,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -104000.0], [-580000.0, -104000.0], [-580000.0, -102000.0], [-582000.0, -102000.0], [-582000.0, -104000.0]]]}",2003
0,0.2189274881487785,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -110000.0], [-586000.0, -110000.0], [-586000.0, -108000.0], [-588000.0, -108000.0], [-588000.0, -110000.0]]]}",2004
1,0.312277605580002,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -110000.0], [-584000.0, -110000.0], [-584000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -110000.0]]]}",2004
2,0.3224720138443423,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -110000.0], [-582000.0, -110000.0], [-582000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -110000.0]]]}",2004
3,0.3010466437506373,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -110000.0], [-580000.0, -110000.0], [-580000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -110000.0]]]}",2004
4,0.2760305715265282,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -106000.0], [-588000.0, -106000.0], [-588000.0, -108000.0]]]}",2004
5,0.3161296707575212,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -108000.0]]]}",2004
6,0.2967959375623123,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -108000.0]]]}",2004
7,0.3015314900313595,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -108000.0], [-580000.0, -108000.0], [-580000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -108000.0]]]}",2004
8,0.2761708152006327,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -104000.0], [-588000.0, -104000.0], [-588000.0, -106000.0]]]}",2004
9,0.3099888763316588,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -106000.0]]]}",2004
10,0.3121652040667297,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -106000.0]]]}",2004
11,0.3279901123647689,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -106000.0], [-580000.0, -106000.0], [-580000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -106000.0]]]}",2004
12,0.1744778197396418,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -102000.0], [-588000.0, -102000.0], [-588000.0, -104000.0]]]}",2004
13,0.2526859755629084,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -102000.0], [-586000.0, -102000.0], [-586000.0, -104000.0]]]}",2004
14,0.3381128002814763,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -102000.0], [-584000.0, -102000.0], [-584000.0, -104000.0]]]}",2004
15,0.3251175670660686,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -104000.0], [-580000.0, -104000.0], [-580000.0, -102000.0], [-582000.0, -102000.0], [-582000.0, -104000.0]]]}",2004
0,0.2508246570843904,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -110000.0], [-586000.0, -110000.0], [-586000.0, -108000.0], [-588000.0, -108000.0], [-588000.0, -110000.0]]]}",2005
1,0.3334632366373466,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -110000.0], [-584000.0, -110000.0], [-584000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -110000.0]]]}",2005
2,0.3379925806856903,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -110000.0], [-582000.0, -110000.0], [-582000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -110000.0]]]}",2005
3,0.3211095094458729,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -110000.0], [-580000.0, -110000.0], [-580000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -110000.0]]]}",2005
4,0.2617205995567608,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -108000.0], [-586000.0, -108000.0], [-586000.0, -106000.0], [-588000.0, -106000.0], [-588000.0, -108000.0]]]}",2005
5,0.334377204111218,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -108000.0], [-584000.0, -108000.0], [-584000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -108000.0]]]}",2005
6,0.317695647990632,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -108000.0], [-582000.0, -108000.0], [-582000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -108000.0]]]}",2005
7,0.3164656084379534,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -108000.0], [-580000.0, -108000.0], [-580000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -108000.0]]]}",2005
8,0.2800495195991905,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -106000.0], [-586000.0, -106000.0], [-586000.0, -104000.0], [-588000.0, -104000.0], [-588000.0, -106000.0]]]}",2005
9,0.3136587000977073,"{'type': 'Polygon', 'coordinates': [[[-586000.0, -106000.0], [-584000.0, -106000.0], [-584000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -106000.0]]]}",2005
10,0.327359210728889,"{'type': 'Polygon', 'coordinates': [[[-584000.0, -106000.0], [-582000.0, -106000.0], [-582000.0, -104000.0], [-584000.0, -104000.0], [-584000.0, -106000.0]]]}",2005
11,0.3335070811023085,"{'type': 'Polygon', 'coordinates': [[[-582000.0, -106000.0], [-580000.0, -106000.0], [-580000.0, -104000.0], [-582000.0, -104000.0], [-582000.0, -106000.0]]]}",2005
12,0.16296946097964,"{'type': 'Polygon', 'coordinates': [[[-588000.0, -104000.0], [-586000.0, -104000.0], [-586000.0, -102000.0], [-588000.0, -102000.0], [-588000.0, -104000.0]]]}",2005
