,actual,predicted
0,0.26993674,0.27691042
1,0.2820405,0.33190492
2,0.32729185,0.32520872
3,0.3328819,0.31753653
4,0.32393786,0.3167777
5,0.2882714,0.29569194
6,0.29282343,0.3028445
7,0.32492918,0.32959285
8,0.14315869,0.13100162
9,0.20074606,0.20444879
10,0.26186052,0.2698405
11,0.31575435,0.3071476
12,0.33126786,0.29954204
13,0.30756232,0.303073
14,0.2941087,0.30879456
15,0.30007696,0.29992995
16,0.079866886,0.07803394
17,0.1675198,0.1877437
18,0.29683372,0.29471347
19,0.26984474,0.24048066
20,0.3164682,0.28342783
21,0.33469447,0.34991908
22,0.3090527,0.32105744
23,0.2934351,0.27518675
24,0.016314136,0.014808029
25,0.13171165,0.09232418
26,0.2658765,0.23701549
27,0.24124219,0.22514862
28,0.303113,0.28729308
29,0.3167009,0.30492598
30,0.2803756,0.2779157
31,0.3099277,0.33070928
32,0.020930624,0.014092475
33,0.17218976,0.12385413
34,0.26882273,0.22242022
35,0.2695898,0.23747928
36,0.24885085,0.22078414
37,0.23492338,0.23191659
38,0.2415074,0.26354957
39,0.28081512,0.3381609
40,0.08671127,0.073364735
41,0.14180344,0.1356634
42,0.27573603,0.20883293
43,0.2786794,0.2750182
44,0.27510905,0.27322084
45,0.30855605,0.3252723
46,0.27292478,0.32341838
47,0.28343096,0.34979594
48,0.13116312,0.12907045
49,0.21920732,0.17470205
50,0.2693077,0.24156174
51,0.26542044,0.2944821
52,0.26711366,0.24694203
53,0.30503434,0.32555446
54,0.2769954,0.32519034
55,0.27871317,0.3328762
56,0.034484796,0.030161262
57,0.08603077,0.11386421
58,0.12526716,0.18519786
59,0.21387751,0.19927889
60,0.293688,0.29309055
61,0.24782531,0.2272223
62,0.29579568,0.3216818
63,0.30610597,0.33603364
64,0.29981723,0.28039768
65,0.33213413,0.3289217
66,0.35493103,0.3297114
67,0.35898775,0.32467094
68,0.3274582,0.32534376
69,0.30094054,0.29801226
70,0.31038287,0.3043234
71,0.31935337,0.33126456
72,0.1570697,0.13829292
73,0.22662783,0.20417301
74,0.29197076,0.27626425
75,0.3356779,0.32826012
76,0.33494893,0.32826462
77,0.31619495,0.30565792
78,0.32103872,0.29948008
79,0.31180167,0.30316186
80,0.09994145,0.08076179
81,0.1955587,0.18849784
82,0.3145834,0.3015647
83,0.29328838,0.26268238
84,0.33216563,0.30557883
85,0.34739155,0.35115084
86,0.31315413,0.3241256
87,0.28424463,0.29592577
88,0.02755298,0.014695138
89,0.14662641,0.11621274
90,0.30841568,0.2625093
91,0.28807786,0.24099344
92,0.31471202,0.2943741
93,0.32216656,0.3131324
94,0.2985006,0.27996838
95,0.32521433,0.32776505
96,0.03284188,0.012220472
97,0.19832468,0.16552104
98,0.31003493,0.2715929
99,0.30029768,0.26065198
100,0.26631957,0.24140769
101,0.2566119,0.23599494
102,0.26948124,0.26375157
103,0.3260306,0.33468276
104,0.09359042,0.078788236
105,0.15507811,0.15329503
106,0.30198357,0.25739688
107,0.29940224,0.28286982
108,0.28981882,0.279854
109,0.32495573,0.3282435
110,0.31343502,0.3169161
111,0.3344259,0.3477587
112,0.15650813,0.13083208
113,0.23534395,0.20714822
114,0.274292,0.26871777
115,0.30113885,0.29643187
116,0.27844658,0.25304782
117,0.32592708,0.330194
118,0.31486595,0.31108004
119,0.30515805,0.33077362
120,0.063256286,0.03177923
121,0.12242993,0.11032872
122,0.1926553,0.17641929
123,0.24161845,0.2168293
124,0.28773472,0.30418557
125,0.25567132,0.22285633
126,0.30546403,0.31882277
127,0.3226313,0.33726373
128,0.27446175,0.29233438
129,0.3393847,0.33355018
130,0.37000036,0.3320764
131,0.36835542,0.3284153
132,0.3560674,0.32553625
133,0.2759727,0.30165637
134,0.27712867,0.31173593
135,0.28313532,0.33070627
136,0.09220722,0.14467275
137,0.22551574,0.20506272
138,0.31189317,0.2823452
139,0.34882402,0.33323932
140,0.35134804,0.32771948
141,0.3381887,0.3065639
142,0.30938846,0.32111707
143,0.28629795,0.3067653
144,0.06571775,0.089045405
145,0.2108827,0.19135103
146,0.33219644,0.302474
147,0.29438382,0.28890288
148,0.34956637,0.31303728
149,0.3731746,0.3524237
150,0.3476229,0.32519916
151,0.28499997,0.28981182
152,-0.030711971,0.014872223
153,0.1288227,0.12799403
154,0.3274505,0.29619145
155,0.29112282,0.27722222
156,0.34740186,0.30532128
157,0.35136554,0.31464362
158,0.31326324,0.28847095
159,0.3294944,0.33029577
160,-0.031081902,0.0128214955
161,0.19637744,0.17784812
162,0.28104138,0.31538695
163,0.28258926,0.28534305
164,0.2860396,0.25255263
165,0.276589,0.24636531
166,0.2783596,0.27081186
167,0.31746495,0.33766696
168,0.024728982,0.07797089
169,0.1371866,0.15891768
170,0.2863752,0.2791833
171,0.30092192,0.28924862
172,0.29417732,0.28531405
173,0.35517046,0.3295321
174,0.31490305,0.3271507
175,0.31792954,0.34978145
176,0.11135009,0.14248888
177,0.24827893,0.21352074
178,0.28778425,0.26883152
179,0.32383576,0.3016811
180,0.2791963,0.26595056
181,0.32132825,0.33153045
182,0.32608974,0.32813305
183,0.30051437,0.33269066
184,0.028590484,0.036446035
185,0.11584247,0.12511349
186,0.19687541,0.20980701
187,0.2629792,0.24091911
188,0.312955,0.30052456
189,0.22680289,0.23213036
190,0.28189424,0.32161427
191,0.3277443,0.3387341
