,actual,predicted
0,0.2949999,0.30982178
1,0.27655613,0.29714358
2,0.30673325,0.32444876
3,0.31061956,0.33222768
4,0.2716508,0.29478186
5,0.2926359,0.30744386
6,0.2671699,0.2713778
7,0.26689303,0.29999772
8,0.27668187,0.30211398
9,0.23723489,0.2792461
10,0.22855796,0.253883
11,0.24812435,0.28409684
12,0.2920272,0.32037064
13,0.28206167,0.30055854
14,0.29555318,0.3019897
15,0.28928643,0.31725383
16,0.2673258,0.3080257
17,0.2439359,0.3049679
18,0.25998804,0.3276184
19,0.2755707,0.33230177
20,0.24379885,0.29120946
21,0.266092,0.30603325
22,0.22071847,0.28441548
23,0.25949103,0.28772163
24,0.23838821,0.30265322
25,0.20986317,0.27818322
26,0.20155281,0.25937325
27,0.23111975,0.27154732
28,0.2478812,0.31043643
29,0.2526825,0.3087804
30,0.26205462,0.3066879
31,0.28642827,0.31051937
32,0.23578602,0.31791788
33,0.22128434,0.30636233
34,0.21119739,0.31345537
35,0.20896168,0.31839657
36,0.21891618,0.29635438
37,0.23567583,0.31322038
38,0.19114445,0.25660926
39,0.1840726,0.2930901
40,0.22389974,0.30954963
41,0.1957322,0.28161734
42,0.17958346,0.2483769
43,0.17597806,0.28096652
44,0.24198222,0.3037218
45,0.22983445,0.3072422
46,0.24871917,0.29537553
47,0.24221754,0.31448886
