,actual,predicted
0,0.30290952,0.28726685
1,0.31620792,0.30888546
2,0.27766937,0.2672164
3,0.26127666,0.29886433
4,0.29635662,0.32182333
5,0.3158411,0.31979185
6,0.27158976,0.31584722
7,0.30307272,0.32388294
8,0.30906627,0.32458428
9,0.28020042,0.32836282
10,0.26561922,0.3224709
11,0.27877104,0.32634485
12,0.30654508,0.3267328
13,0.30428946,0.32704931
14,0.3137548,0.3251654
15,0.3209389,0.318549
16,0.30748257,0.3101374
17,0.27009976,0.2980321
18,0.26664537,0.27645272
19,0.2725863,0.31646532
20,0.28044,0.31440014
21,0.32137045,0.3090161
22,0.3180188,0.3210237
23,0.32530302,0.31913364
24,0.332458,0.32670596
25,0.31798348,0.32726777
26,0.32009852,0.3291217
27,0.2953863,0.32755637
28,0.29556045,0.3283654
29,0.31889668,0.3255574
30,0.2951281,0.31945902
31,0.30080336,0.32013303
32,0.27999285,0.3047939
33,0.26128426,0.30522627
34,0.29262727,0.30531284
35,0.27561593,0.2980642
36,0.2913988,0.30349293
37,0.31822628,0.31442782
38,0.31251526,0.3223878
39,0.3409601,0.32720017
40,0.29961634,0.3171894
41,0.28357613,0.32729566
42,0.2994088,0.32621527
43,0.3133647,0.32846838
44,0.33253402,0.33172113
45,0.27687714,0.31737483
46,0.29694802,0.31032643
47,0.268704,0.29052424
48,0.25136867,0.28972006
49,0.2632971,0.3156589
50,0.27421474,0.31800544
51,0.31530306,0.29892582
52,0.3188991,0.30368024
53,0.32366458,0.30084068
54,0.31459707,0.31325948
55,0.30066967,0.2939906
56,0.29109392,0.31715262
57,0.31882396,0.32692486
58,0.3269915,0.3210828
59,0.3149677,0.32593304
60,0.28543252,0.3004617
61,0.28547123,0.31343162
62,0.27081108,0.3115252
63,0.28361082,0.3137287
64,0.27004284,0.30553806
65,0.2897941,0.31584352
66,0.29611152,0.31316566
67,0.3064518,0.31091663
68,0.2561856,0.27377594
69,0.28780887,0.29196024
70,0.20419513,0.21162662
71,0.31478915,0.31164914
72,0.30834976,0.3182124
73,0.28552723,0.31086814
74,0.28741065,0.32101655
75,0.2542478,0.28593162
76,0.2849758,0.3143655
77,0.28200817,0.31966126
78,0.2967953,0.30120045
79,0.32131705,0.31964502
80,0.32709908,0.31823683
81,0.31688204,0.31603938
82,0.29241094,0.30834794
83,0.32368287,0.31470782
84,0.25363645,0.24126297
85,0.18335846,0.20823735
86,0.22979444,0.23566201
87,0.1940944,0.21519041
88,0.20054269,0.22903717
89,0.25967705,0.2802439
90,0.2538266,0.27171674
91,0.2682806,0.3179233
92,0.2862378,0.32105124
93,0.289191,0.3141746
94,0.27352655,0.31799644
95,0.28501913,0.31806892
96,0.3144936,0.3198403
97,0.31463313,0.30126998
98,0.27709568,0.23828372
99,0.19682062,0.21017575
100,0.1856535,0.2070347
101,0.21264593,0.21258545
102,0.19704889,0.22700125
103,0.254716,0.3142925
104,0.29386815,0.32785386
105,0.24995567,0.3024102
106,0.28510824,0.3180744
107,0.2921094,0.3162319
108,0.289327,0.30870214
109,0.2434776,0.29230356
110,0.23435982,0.3053273
