,actual,predicted
0,0.16329734,0.14356853
1,0.32190225,0.28756028
2,0.29662377,0.30238563
3,0.2210531,0.26378116
4,0.3145283,0.28589433
5,0.32011127,0.28958055
6,0.32358345,0.27134964
7,0.3341982,0.26196
8,0.3187912,0.27180985
9,0.33285177,0.28434232
10,0.25570944,0.2475063
11,0.3124699,0.28932053
12,0.2928153,0.27988228
13,0.28887442,0.278672
14,0.2921706,0.27977285
15,0.3134927,0.27516153
16,0.04757735,0.051842246
17,0.24185915,0.21789177
18,0.28626108,0.25958076
19,0.29260275,0.2762783
20,0.28110248,0.25843394
21,0.29832432,0.2574239
22,0.30373356,0.25915956
23,0.3276037,0.27736005
24,0.3231628,0.27598706
25,0.33648872,0.2811327
26,0.29895028,0.25823504
27,0.30885896,0.2733354
28,0.31827924,0.29405472
29,0.30299547,0.30069223
30,0.29696986,0.27629456
31,0.26711187,0.26782295
32,0.16044495,0.14994822
33,0.09103696,0.08980207
34,0.18193908,0.16874816
35,0.13221754,0.12483983
36,0.14822452,0.12625279
37,0.2681445,0.25862107
38,0.31304348,0.28321424
39,0.3134045,0.28409645
40,0.33998743,0.2789596
41,0.33004308,0.27588218
42,0.31149292,0.25035638
43,0.324122,0.27142784
44,0.302461,0.29209238
45,0.2998865,0.29879394
46,0.27094236,0.27651906
47,0.28053188,0.26174882
48,0.12623633,0.11304693
49,0.14457348,0.15256822
50,0.15664536,0.15060799
51,0.14366749,0.119124085
52,0.12467611,0.10243109
53,0.32916448,0.2896834
54,0.3278344,0.28727716
55,0.30151996,0.24691232
56,0.2560112,0.23411556
57,0.32789117,0.26965484
58,0.3565329,0.28244367
59,0.31955937,0.28100964
60,0.28357005,0.27444515
61,0.30410647,0.28812996
62,0.32009277,0.29253015
63,0.30102405,0.26366815
64,0.15923136,0.16963524
65,0.03884814,0.049215253
66,0.22609474,0.23301516
67,0.22581695,0.20523788
68,0.29044446,0.23681138
69,0.30209777,0.28135177
70,0.31559926,0.28117916
71,0.26358858,0.21020992
72,0.23094961,0.19740714
73,0.33094156,0.28402624
74,0.351732,0.31477037
75,0.33529058,0.31121293
76,0.31777477,0.30461508
77,0.3087475,0.2996445
78,0.2971372,0.2619026
79,0.29758498,0.25886568
80,0.050005924,0.07395023
81,-0.028362151,0.034683716
82,0.034663774,0.05316693
83,0.03971593,0.040314946
84,0.23608118,0.19329415
85,0.23806724,0.23368935
86,0.24307828,0.26238343
87,0.28524998,0.2287163
88,0.26472953,0.22890215
89,0.33124238,0.2827607
90,0.37900707,0.31202936
91,0.3608301,0.3086742
92,0.35379186,0.30250606
93,0.3191557,0.28817794
94,0.27942136,0.25756314
95,0.3238903,0.28157598
96,0.0083868895,0.034739833
97,0.014568193,0.037525456
98,0.048942283,0.058019992
99,0.16707449,0.13091631
100,0.23392497,0.20373972
101,0.29762962,0.26194915
102,0.2520782,0.2743354
103,0.26603502,0.24483244
104,0.2451164,0.21456145
105,0.31210315,0.2729273
106,0.300591,0.29474875
107,0.3356049,0.29249305
108,0.2886833,0.24958678
109,0.28875193,0.262642
110,0.29145214,0.28996447
111,0.31500396,0.31413016
112,0.01077385,0.03368095
113,0.053872347,0.05774161
114,0.08794677,0.07873437
115,0.2345666,0.17947723
116,0.3075735,0.22818817
117,0.29319757,0.26421067
118,0.2636474,0.25610766
119,0.23241943,0.21066199
120,0.23400214,0.21027158
121,0.2468966,0.2179798
122,0.2190782,0.23498689
123,0.23804016,0.2266462
124,0.21041287,0.20410301
125,0.23919578,0.23592658
126,0.2550071,0.2826173
127,0.2855924,0.2881773
128,0.021965727,0.03560343
129,0.020369908,0.035772678
130,0.10001487,0.08996607
131,0.16502446,0.1584123
132,0.2295158,0.23023812
133,0.27615267,0.26342335
134,0.29402277,0.27020353
135,0.2617122,0.21234886
136,0.22401913,0.20120274
137,0.23600146,0.21333934
138,0.26109123,0.24838178
139,0.23490784,0.2312678
140,0.21950118,0.20999207
141,0.21637934,0.21312149
142,0.22195679,0.28264412
143,0.26049155,0.29881692
144,0.067089036,0.061249238
145,0.024147173,0.040457953
146,0.031514097,0.048337433
147,0.17580016,0.16021563
148,0.2583126,0.2239161
149,0.2285863,0.21843667
150,0.31669635,0.27773392
151,0.2850871,0.25906003
152,0.29472804,0.27305394
153,0.2829559,0.2518408
154,0.28791842,0.26517913
155,0.29043543,0.2711312
156,0.28016534,0.27532342
157,0.29931417,0.28871754
158,0.26855814,0.31232092
159,0.28140083,0.3218687
160,0.13225482,0.1092035
161,0.044553205,0.05075525
162,0.023511179,0.04365663
163,0.17753798,0.17030327
164,0.2630917,0.21649449
165,0.30572876,0.24522047
166,0.30928946,0.25747064
167,0.28503054,0.26174766
168,0.2680036,0.24566491
169,0.25929433,0.22842272
170,0.2707289,0.24992137
171,0.31418756,0.27888924
172,0.2727751,0.27103227
173,0.25801575,0.25491765
174,0.29727757,0.30866632
175,0.29683003,0.3110576
176,0.27381054,0.27772993
177,0.059843246,0.062007736
178,0.08610057,0.08672108
179,0.20544343,0.18040006
180,0.22805013,0.18928973
181,0.2510651,0.22798909
182,0.2652949,0.23548518
183,0.27890626,0.2709022
184,0.26638833,0.25430453
185,0.281797,0.28232977
186,0.268779,0.26200143
187,0.32258964,0.29050434
188,0.30403608,0.280574
189,0.24638653,0.29000375
190,0.24110243,0.30072922
191,0.2616595,0.30128407
192,0.27775604,0.27003062
193,0.089059405,0.084422275
194,0.17931117,0.18871824
195,0.22331883,0.19244121
196,0.27366263,0.24549271
197,0.25892952,0.23077653
198,0.27064905,0.26370987
199,0.25672033,0.26272297
200,0.29511622,0.25251716
201,0.24533515,0.23329653
202,0.29417565,0.26729873
203,0.29643536,0.28354588
204,0.27963924,0.2618232
205,0.28275767,0.2972915
206,0.2821953,0.30289584
207,0.27802214,0.2967525
208,0.07744318,0.074026644
209,0.03582538,0.047440317
210,0.17695566,0.18556528
211,0.21063282,0.25330806
212,0.2444444,0.2483248
213,0.2664198,0.24998455
214,0.25866678,0.26446113
215,0.24421757,0.25909644
216,0.28940123,0.2630647
217,0.2756162,0.2483766
218,0.31547233,0.27662012
219,0.3027509,0.29194
220,0.3028587,0.28538993
221,0.2947957,0.28939977
222,0.3043459,0.29453525
223,0.3048744,0.27953777
224,0.015730562,0.035971437
225,0.076388046,0.07762922
226,0.08916227,0.094892606
227,0.0834097,0.10581343
228,0.15520807,0.22247203
229,0.18304977,0.24011935
230,0.19012314,0.20769288
231,0.17935169,0.18873219
232,0.23011298,0.2389447
233,0.30782416,0.27864096
234,0.28210977,0.2692636
235,0.24765258,0.24038021
236,0.27581275,0.27773455
237,0.29490507,0.29629764
238,0.28750494,0.27848032
239,0.3106101,0.28199896
240,0.1983757,0.14721127
241,0.3439875,0.29477888
242,0.34940934,0.28969583
243,0.30482945,0.23929097
244,0.35374102,0.2933802
245,0.33723187,0.29542845
246,0.34061077,0.29026258
247,0.37143692,0.29342887
248,0.34673297,0.2890322
249,0.33672744,0.2993898
250,0.27752382,0.24733298
251,0.32650286,0.29123166
252,0.32469139,0.27851123
253,0.32002765,0.2767257
254,0.29041302,0.27844393
255,0.3098053,0.28746423
256,0.060330305,0.05300543
257,0.25164267,0.22677998
258,0.3107702,0.26795852
259,0.34421667,0.27816513
260,0.33882684,0.2653204
261,0.33079523,0.27369872
262,0.32288924,0.27803373
263,0.34471682,0.29544225
264,0.34652808,0.29157534
265,0.3361655,0.2993399
266,0.2944451,0.27492103
267,0.31145892,0.28478342
268,0.3357694,0.29653344
269,0.3165386,0.29129574
270,0.30339402,0.2788181
271,0.29419082,0.2607818
272,0.1537664,0.1533414
273,0.09817066,0.08985993
274,0.18617082,0.16942745
275,0.15382402,0.12236683
276,0.1596444,0.1266797
277,0.32645673,0.25881374
278,0.33716065,0.28989723
279,0.34010515,0.28991303
280,0.34352377,0.29892555
281,0.32657582,0.29507047
282,0.32639512,0.27925822
283,0.32464665,0.29071403
284,0.3213441,0.28739372
285,0.3269945,0.28895816
286,0.3135603,0.26695117
287,0.30393946,0.26529
288,0.13167496,0.114781305
289,0.17453386,0.1443822
290,0.1919235,0.14565578
291,0.15148418,0.12100376
292,0.13590203,0.10418056
293,0.3302342,0.29983428
294,0.33969715,0.29708704
